'Image id','Nutrient','Amount','Unit','Serving size','Serving size unit','Language'
211.png,of which saturated fatty acids,2,g, , ,english
211.png,Protein,9,g, , ,english
211.png,Carbohydrate,81.9,g, , ,english
211.png,كاربوهيدرات,81.9, , , ,arabic
213.jpg,Dietary Fiber,1,g,100,g,english
213.jpg,Total Carbohydrate,16.8,g,100,g,english
213.jpg,Calories,235,,100,g,english
213.jpg,Total Fat,10.25,g,100,g,english
213.jpg,Protein,18.95,g,100,g,english
213.jpg,Sodium,139,g,100,g,english
213.jpg,Cholesterol,48,g,100,g,english
213.jpg,Saturated Fat,32,g,100,g,english
213.jpg,السعرات الحرارية,235, ,100,g,arabic
213.jpg,إجمالي الدهون,10.25, ,100,g,arabic
213.jpg,صوديوم,139,g,100,g,arabic
213.jpg,الكوليسترول,48,g,100,g,arabic
213.jpg,الدهون المشبعة,32,g,100,g,arabic
215.jpg,Total Fat,4.07,g,100, g,english
215.jpg,Calories,4.07,g,100, g,english
215.jpg,Saturated Fat,4.07,g,100, g,english
215.jpg,إجمالي الدهون,4.07,g, , ,arabic
215.jpg,السعرات الحرارية,4.07,g, , ,arabic
215.jpg,الدهون المشبعة,4.07,g, , ,arabic
216.jpg,Carbohydrate,12.8, g,100,g,english
216.jpg,Folate,0.26, g,100,g,english
216.jpg,Protein,4.9, g,100,g,english
216.jpg,كاربوهيدرات,12.8, g,100,g,arabic
217.jpg,Total Carbohydrate,14, g,100,g,english
217.jpg,Total Fat,24, g,100,g,english
217.jpg,Cholesterol,45, g,100,g,english
217.jpg,Saturated Fat,42, g,100,g,english
217.jpg,Calories,292,,100,g,english
217.jpg,Dietary Fiber,1, g,100,g,english
217.jpg,إجمالي الدهون,24, g,100,g,arabic
217.jpg,الكوليسترول,45, g,100,g,arabic
217.jpg,الدهون المشبعة,42, g,100,g,arabic
217.jpg,السعرات الحرارية,292, g,100,g,arabic
221.jpg,Total Carbohydrate,2.5,g,100, g,english
221.jpg,Calories,136,g,100, g,english
221.jpg,Protein,14,g,100, g,english
221.jpg,السعرات الحرارية,136, , , ,arabic
222.jpg,Cholesterol,15,g,100,g,english
222.jpg,Saturated Fat,0, g,100,g,english
222.jpg,Total Fat,7.7,g,100,g,english
222.jpg,Protein,14,g,100,g,english
222.jpg,Total Carbohydrate,14,g,100,g,english
222.jpg,Dietary Fiber,2,g,100,g,english
222.jpg,الكوليسترول,36, , , ,arabic
222.jpg,الدهون المشبعة,4, g, , ,arabic
222.jpg,إجمالي الدهون,182, , , ,arabic
223.jpg,Cholesterol,36,g,100,g,english
223.jpg,Total Carbohydrate,14, g,100,g,english
223.jpg,Saturated Fat,4, g,100,g,english
223.jpg,Calories,276,g,100,g,english
223.jpg,Dietary Fiber,2, g,100,g,english
223.jpg,الكوليسترول,36, ,100,g,arabic
223.jpg,الدهون المشبعة,4, g,100,g,arabic
223.jpg,السعرات الحرارية,276, ,100,g,arabic
224.jpg,Saturated Fat,7,g, , ,english
224.jpg,الدهون المشبعة,7, , , ,arabic
226.jpg,Saturated Fat,1.5,g,100, g,english
226.jpg,Cholesterol,15,g,100, g,english
226.jpg,Calories,140,g,100, g,english
226.jpg,الدهون المشبعة,152, ,100, g,arabic
226.jpg,الكوليسترول,1.5, ,100, g,arabic
226.jpg,السعرات الحرارية,140, ,100, g,arabic
227.jpg,Total Carbohydrate,8,g, , ,english
229.jpg,Saturated Fat,3.7,g,100, g,english
229.jpg,Total Carbohydrate,0,g,100, g,english
229.jpg,Calories,237,g,100, g,english
229.jpg,Sodium,405,g,100, g,english
229.jpg,Total Fat,13.4, g,100, g,english
229.jpg,الدهون المشبعة,3.7, , , ,arabic
229.jpg,السعرات الحرارية,237, , , ,arabic
229.jpg,صوديوم,405, , , ,arabic
229.jpg,إجمالي الدهون,13.4, g, , ,arabic
230.jpg,Total Carbohydrate,2,g, , ,english
230.jpg,Sodium,710,g, , ,english
230.jpg,Calories from Fat,10,g, , ,english
230.jpg,Cholesterol,0,g, , ,english
230.jpg,صوديوم,710, , , ,arabic
230.jpg,الكوليسترول,0, , , ,arabic
236.jpeg,Carbohydrate,13, g, , ,english
236.jpeg,كاربوهيدرات,13, g, , ,arabic
238.jpeg,of which saturated fatty acids,3,g, , ,english
